"area_code","item_code","Area","Item","share","category"
882,2618,"Samoa","Pineapples and products",0.00518942445516274,"vegetal_products"
250,2612,"France","Lemons, Limes and products",0.00046966642228739,"vegetal_products"
156,2601,"China, mainland","Tomatoes and products",0.00511034598423488,"vegetal_products"
178,2616,"Congo","Plantains",0.0172744819437866,"vegetal_products"
196,2611,"Cyprus","Oranges, Mandarines",0.00455257274476843,"vegetal_products"
608,2605,"Philippines","Vegetables, other",0.0185942080206233,"vegetal_products"
246,2616,"Finland","Plantains",0,"vegetal_products"
694,2625,"Sierra Leone","Fruits, other",0.00711634444622131,"vegetal_products"
716,2611,"Zimbabwe","Oranges, Mandarines",0.00146007123659664,"vegetal_products"
372,2615,"Ireland","Bananas",0.00410313602769825,"vegetal_products"
748,2617,"Eswatini","Apples and products",0.00264778813959027,"vegetal_products"
417,2618,"Kyrgyzstan","Pineapples and products",3.00318337437684e-05,"vegetal_products"
132,2620,"Cabo Verde","Grapes and products (excl wine)",0.000981567481794444,"vegetal_products"
388,2614,"Jamaica","Citrus, Other",0,"vegetal_products"
598,2617,"Papua New Guinea","Apples and products",0.000190162874502011,"vegetal_products"
208,2613,"Denmark","Grapefruit and products",0.000136714744685214,"vegetal_products"
600,2616,"Paraguay","Plantains",0,"vegetal_products"
756,2613,"Switzerland","Grapefruit and products",0.000396395979329541,"vegetal_products"
792,2612,"Türkiye","Lemons, Limes and products",0.000988533017002768,"vegetal_products"
418,2620,"Lao People's Democratic Republic","Grapes and products (excl wine)",6.94972913430699e-06,"vegetal_products"
356,2602,"India","Onions",0.00456421502712654,"vegetal_products"
788,2615,"Tunisia","Bananas",0.000885304550829215,"vegetal_products"
548,2625,"Vanuatu","Fruits, other",0.0102347488550089,"vegetal_products"
804,2615,"Ukraine","Bananas",0.00189928001782998,"vegetal_products"
528,2614,"Netherlands (Kingdom of the)","Citrus, Other",0.00139350345557542,"vegetal_products"
643,2612,"Russian Federation","Lemons, Limes and products",0.000397688027198273,"vegetal_products"
586,2605,"Pakistan","Vegetables, other",0.00551265569527572,"vegetal_products"
203,2615,"Czechia","Bananas",0.00581409521952171,"vegetal_products"
860,2618,"Uzbekistan","Pineapples and products",1.02164873673134e-05,"vegetal_products"
100,2614,"Bulgaria","Citrus, Other",5.04730041532072e-05,"vegetal_products"
112,2616,"Belarus","Plantains",5.69775318599366e-05,"vegetal_products"
308,2618,"Grenada","Pineapples and products",0.000170787078499573,"vegetal_products"
434,2625,"Libya","Fruits, other",0.0081002817489304,"vegetal_products"
826,2613,"United Kingdom of Great Britain and Northern Ireland","Grapefruit and products",0.000398020917530066,"vegetal_products"
762,2635,"Tajikistan","Tea (including mate)",0.000137422312063906,"vegetal_products"
152,2615,"Chile","Bananas",0.006045515488151,"vegetal_products"
496,2633,"Mongolia","Cocoa Beans and products",0.0180238025210954,"vegetal_products"
480,2614,"Mauritius","Citrus, Other",0.00024599428229506,"vegetal_products"
752,2612,"Sweden","Lemons, Limes and products",0.000679897385857505,"vegetal_products"
818,2602,"Egypt","Onions",0.00586308141211906,"vegetal_products"
703,2616,"Slovakia","Plantains",0.000317009143398552,"vegetal_products"
320,2602,"Guatemala","Onions",0.00370132674602118,"vegetal_products"
470,2613,"Malta","Grapefruit and products",8.15494393476045e-05,"vegetal_products"
454,2613,"Malawi","Grapefruit and products",3.91386368795547e-06,"vegetal_products"
398,2611,"Kazakhstan","Oranges, Mandarines",0.00143608164215027,"vegetal_products"
858,2616,"Uruguay","Plantains",0,"vegetal_products"
760,2612,"Syrian Arab Republic","Lemons, Limes and products",0.00138262874313543,"vegetal_products"
324,2617,"Guinea","Apples and products",3.30946382549197e-05,"vegetal_products"
344,2614,"China, Hong Kong SAR","Citrus, Other",2.28358170002871e-05,"vegetal_products"
332,2617,"Haiti","Apples and products",4.63772417599236e-05,"vegetal_products"
670,2620,"Saint Vincent and the Grenadines","Grapes and products (excl wine)",0.00110529030537592,"vegetal_products"
688,2615,"Serbia","Bananas",0.0030723949964711,"vegetal_products"
498,2617,"Republic of Moldova","Apples and products",0.00158833378180405,"vegetal_products"
191,2615,"Croatia","Bananas",0.00705708060420622,"vegetal_products"
192,2732,"Cuba","Mutton & Goat Meat",0.00185303180011881,"meat"
446,2635,"China, Macao SAR","Tea (including mate)",0.000189012995535014,"vegetal_products"
604,2605,"Peru","Vegetables, other",0.0166731006794317,"vegetal_products"
659,2633,"Saint Kitts and Nevis","Cocoa Beans and products",0.00194562633587024,"vegetal_products"
887,2613,"Yemen","Grapefruit and products",0,"vegetal_products"
384,2611,"Côte d'Ivoire","Oranges, Mandarines",0.000688376815161211,"vegetal_products"
840,2605,"United States of America","Vegetables, other",0.0126278262501173,"vegetal_products"
218,2612,"Ecuador","Lemons, Limes and products",0.000227898658488066,"vegetal_products"
484,2602,"Mexico","Onions",0.00266733641502356,"vegetal_products"
690,2619,"Seychelles","Dates",0,"vegetal_products"
558,2614,"Nicaragua","Citrus, Other",1.98936089791793e-05,"vegetal_products"
646,2614,"Rwanda","Citrus, Other",0,"vegetal_products"
807,2617,"North Macedonia","Apples and products",0.00277555007706194,"vegetal_products"
566,2605,"Nigeria","Vegetables, other",0.0139933483832984,"vegetal_products"
554,2613,"New Zealand","Grapefruit and products",6.68270515904838e-05,"vegetal_products"
258,2619,"French Polynesia","Dates",5.50132547560678e-05,"vegetal_products"
442,2616,"Luxembourg","Plantains",0.000557910856305991,"vegetal_products"
352,2619,"Iceland","Dates",0.000875370645493382,"vegetal_products"
414,2619,"Kuwait","Dates",0.0164487293249601,"vegetal_products"
400,2617,"Jordan","Apples and products",0.00487947764376105,"vegetal_products"
266,2618,"Gabon","Pineapples and products",0.000435576049325233,"vegetal_products"
740,2625,"Suriname","Fruits, other",0.00189808619228572,"vegetal_products"
233,2618,"Estonia","Pineapples and products",0.000838861253586828,"vegetal_products"
120,2611,"Cameroon","Oranges, Mandarines",1.0710881184195e-05,"vegetal_products"
800,2605,"Uganda","Vegetables, other",0.00622622639034627,"vegetal_products"
430,2635,"Liberia","Tea (including mate)",1.42337272912743e-05,"vegetal_products"
894,2613,"Zambia","Grapefruit and products",5.19980240750851e-06,"vegetal_products"
682,2615,"Saudi Arabia","Bananas",0.00605260425165779,"vegetal_products"
288,2612,"Ghana","Lemons, Limes and products",0.000227903559377381,"vegetal_products"
